Title,Release_Date,Expired_Date,Activity_Code,Parent_Organization,Organization,Participating_Orgs,Document_Number,Document_Type,Clinical_Trials,URL
New Investigator Gateway Awards for Collaborative T1D Research (R03 Clinical Trial Not Allowed),1/22/25,3/7/26,R03,NIH,NIDDK,OD,RFA-DK-26-009,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-DK-26-009.html
Short Courses on Innovative Methodologies and Approaches in the Behavioral and Social Sciences (R25 Clinical Trials Not Allowed),1/21/25,4/10/27,R25,NIH,OBSSR,"NCCIH, NCI, NHLBI, NIDA, NIDCD, NIDCR, NIDDK, NIMH, NINR, ODP, ODS, ORWH",RFA-OD-25-003,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-25-003.html
Notice of Special Interest (NOSI): Digital Technology for Early Detection and Monitoring of Alzheimers Disease (AD) and AD-Related Dementias (ADRD),1/21/25,11/17/27,"R21,R01",NIH,NIA,NLM,NOT-AG-24-043,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-AG-24-043.html
Notice of Special Interest (NOSI): Genetic Underpinnings of Endosomal Trafficking as a Pathological Hub in Alzheimer's Disease (AD) and AD-Related Dementias (ADRD),1/17/25,11/17/27,"R21,R01",NIH,NIA,None,NOT-AG-24-029,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-AG-24-029.html
Notice of Special Interest (NOSI):   Addressing Cancer-Related Financial Hardship to Improve Patient Outcomes,1/17/25,1/8/28,"U34,R34,R03,R01,R21,P01",NIH,NCI,None,NOT-CA-25-035,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-CA-25-035.html
Leadership and Coordination Center (LACC) for the MACS/WIHS Combined Cohort Study (MWCCS) (U01 Clinical Trials Not Allowed),1/16/25,5/3/25,U01,NIH,NHLBI,"NCI, NIA, NIAAA, NIAID, NICHD, NIDA, NIDCD, NIDCR, NIMH, NIMHD, NINR, ORWH",RFA-HL-26-011,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-HL-26-011.html
Limited Competition: Data Analysis and Sharing Center (DASC) for the MACS/WIHS Combined Cohort Study (MWCCS) (U01 Clinical Trials Not Allowed),1/16/25,5/3/25,U01,NIH,NHLBI,"NCI, NIA, NIAAA, NIAID, NICHD, NIDA, NIDCD, NIDCR, NIMH, NIMHD, NINR, ORWH",RFA-HL-26-010,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-HL-26-010.html
Limited Competition: Clinical Research Sites (CRS) for the MACS/WIHS Combined Cohort Study (MWCCS) (U01 Clinical Trial Not Allowed),1/16/25,5/3/25,U01,NIH,NHLBI,"NCI, NIA, NIAAA, NIAID, NICHD, NIDA, NIDCD, NIDCR, NIMH, NIMHD, NINR, ORWH",RFA-HL-26-009,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-HL-26-009.html
Asthma and Allergic Diseases Cooperative Research Centers (U19 Clinical Trial Optional),1/16/25,6/14/25,U19,NIH,NIAID,None,RFA-AI-24-079,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-AI-24-079.html
Collaborative Research Using Biosamples and/or Data from Type 1 Diabetes Clinical Studies (R01 - Clinical Trial Not Allowed),1/15/25,3/9/26,R01,NIH,NIDDK,OD,RFA-DK-26-007,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-DK-26-007.html
